objectid,filename,logo,title,description,website,latitude,longitude,format,subject,hrv,location,language,address,date,institution,provenance,access,Timestamp,Name of Institution,Description of the Institution,Logo or Picture,Origin,Type of Institution,Coverage (Human Rights Violations Vocabulary),Coverage (Keywords),Longitude (if they have a physical location),Lattitude (if they have a physical location),Website of the Institution,Has digitized materials available online?,Languages,Comments or Notes,Country,Physical Address (If available),Date of Establishment
id54,https://lh3.googleusercontent.com/d/1kIHLsnpOdbBYSEJdA83pqi7TJnkOK-GT,https://lh3.googleusercontent.com/d/1kIHLsnpOdbBYSEJdA83pqi7TJnkOK-GT,Instytut Pamięci Narodowej,"The Archive of the Institute of National Remembrance collects, elaborates on, and discloses materials related to the history of the Polish Nation between 1917 and 1990, i.e. mainly under German and Soviet occupation, and during the communist period. The Institute's collection contains files acquired from the communist organs of repression and documents of the Second World War occupational authorities. They are now accessible to the victims of repression, journalists, researchers and public institutions. The IPN's archival resources amount to over 91 km of files. (https://eng.ipn.gov.pl/en/arch)",https://eng.ipn.gov.pl/,52.18264399,20.99390553,record,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,Torture; Arbitrary detention; Surveillance,Poland; Europe,,"1 Janusza Kurtyka Str. 02-676 Warsaw, Poland",12/18/1998,"Truth, Reparations, and/or Memorialization Commissions",As bureaucratic records during the abuse,No,5/3/2025 14:01:55,Instytut Pamięci Narodowej,"The Archive of the Institute of National Remembrance collects, elaborates on, and discloses materials related to the history of the Polish Nation between 1917 and 1990, i.e. mainly under German and Soviet occupation, and during the communist period. The Institute's collection contains files acquired from the communist organs of repression and documents of the Second World War occupational authorities. They are now accessible to the victims of repression, journalists, researchers and public institutions. The IPN's archival resources amount to over 91 km of files. (https://eng.ipn.gov.pl/en/arch)",https://drive.google.com/open?id=1kIHLsnpOdbBYSEJdA83pqi7TJnkOK-GT,As bureaucratic records during the abuse,"Truth, Reparations, and/or Memorialization Commissions",Torture; Arbitrary detention; Surveillance,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,52.18264399,20.99390553,https://eng.ipn.gov.pl/,No,Polish,,Poland; Europe,"1 Janusza Kurtyka Str. 02-676 Warsaw, Poland",12/18/1998
id55,https://lh3.googleusercontent.com/d/1gVeZQeavet0Nr-6GyvQAM79JCPce4dJv,https://lh3.googleusercontent.com/d/1gVeZQeavet0Nr-6GyvQAM79JCPce4dJv,Archiv bezpečnostních složek,"With the approval of Act No. 181/2007 Coll., of 8 June 2007 on the Institute for the Study of Totalitarian Regimes and the Security Services Archive (hereinafter referred to as the SSA) and on amendments to certain acts, the foundations of a new organisational unit of the state, the SSA, were laid. By this step, the legislators of the Czech Parliament established an administrative office directly managed by the Institute for the Study of Totalitarian Regimes (hereinafter referred to as the Institute) and in the professional activities in the field of archives the Ministry of the Interior of the Czech Republic. (https://www.abscr.cz/en/what-is-the-state-security-archive/)",https://www.abscr.cz/en/,50.09768658,14.52065268,record,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,Torture; Arbitrary detention; Surveillance,Czech Republic; Europe,,"Archiv bezpečnostních složek, Na Struze 229/3, 110 00 Praha 1, Czech Republic",6/8/2007,"Public Library, Archives, or Museum",As bureaucratic records during the abuse,Partial,5/3/2025 14:14:37,Archiv bezpečnostních složek,"With the approval of Act No. 181/2007 Coll., of 8 June 2007 on the Institute for the Study of Totalitarian Regimes and the Security Services Archive (hereinafter referred to as the SSA) and on amendments to certain acts, the foundations of a new organisational unit of the state, the SSA, were laid. By this step, the legislators of the Czech Parliament established an administrative office directly managed by the Institute for the Study of Totalitarian Regimes (hereinafter referred to as the Institute) and in the professional activities in the field of archives the Ministry of the Interior of the Czech Republic. (https://www.abscr.cz/en/what-is-the-state-security-archive/)",https://drive.google.com/open?id=1gVeZQeavet0Nr-6GyvQAM79JCPce4dJv,As bureaucratic records during the abuse,"Public Library, Archives, or Museum",Torture; Arbitrary detention; Surveillance,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,50.09768658,14.52065268,https://www.abscr.cz/en/,Partial,Czech,,Czech Republic; Europe,"Archiv bezpečnostních složek, Na Struze 229/3, 110 00 Praha 1, Czech Republic",6/8/2007
id56,https://lh3.googleusercontent.com/d/1sPFrxCLdCQ7-hlGti8fzbFhAAfgnESxJ,https://lh3.googleusercontent.com/d/1sPFrxCLdCQ7-hlGti8fzbFhAAfgnESxJ,COMDOS,The Committee for disclosing the documents and announcing affiliation of Bulgarian citizens to the State Security and intelligence services of the Bulgarian National Army (COMDOS),https://www.comdos.bg/,42.69752965,23.33051569,record,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,Torture; Arbitrary detention; Surveillance,Bulgaria; Europe,,"Sofia Center, ul. ""Vrabcha"" 1, 1000 Sofia, Bulgaria",4/5/2007,"Truth, Reparations, and/or Memorialization Commissions",As bureaucratic records during the abuse,No,5/3/2025 14:43:46,COMDOS,The Committee for disclosing the documents and announcing affiliation of Bulgarian citizens to the State Security and intelligence services of the Bulgarian National Army (COMDOS),https://drive.google.com/open?id=1sPFrxCLdCQ7-hlGti8fzbFhAAfgnESxJ,As bureaucratic records during the abuse,"Truth, Reparations, and/or Memorialization Commissions",Torture; Arbitrary detention; Surveillance,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,42.69752965,23.33051569,https://www.comdos.bg/,No,Bulgarian,,Bulgaria; Europe,"Sofia Center, ul. ""Vrabcha"" 1, 1000 Sofia, Bulgaria",4/5/2007
id57,https://lh3.googleusercontent.com/d/1mJnxY89pQpUJumEFUzT4lYGTgO2mqLKO,https://lh3.googleusercontent.com/d/1mJnxY89pQpUJumEFUzT4lYGTgO2mqLKO,Állambiztonsági Szolgálatok Történeti Levéltára,"The foundation of the Archives followed a Resolution of the Constitutional Court of Hungary. In 1994, the Constitutional Court was examining the constitutionality of the law that had ordered the lustration of people in important public positions. They stated that the Parliament acted against the Constitution by not providing for people’s informational self-determination when they ordered their lustration. At the same time the Parliament was obligated to put an end to this anti-constitutional situation by legislating people’s right to become acquainted with all the personal data gathered and kept by State Security Organizations. Modifying the Law of Screening in 1997, the Parliament set up the Historical Office, which was an archive despite its name. In 2003, as a by-product of the scandal following the publicity of the State Security past of the then Prime Minister, the Parliament founded the Historical Archives of the Hungarian State Security (hereafter: Historical Archives or ÁBTL) by a new Act.

The Historical Archives of the Hungarian State Security (ÁBTL, Állambiztonsági Szolgálatok Történeti Levéltára) was founded as the legal successor of the Hungarian Historical Office in accordance with Act III. of 2003 on the Disclosure of the Secret Service Activities of the Communist Regime and on the Establishment of the Historical Archive of the Hungarian State Security and designated as a special national archive by Act LXVI of 1995 of Public Records, Public Archives, and the Protection of Private Archives. In legal terms, the Historical Archives is publicly financed an independent institute and budget denomination. Work at the Archives is supervised by the Speaker of the Hungarian Parliament. (https://securityarchives.eu/sbs/organisations/members-of-the-european-networ/hungary/founding-history/10314,Founding-history.html)",https://www.abtl.hu/,47.50522405,19.06613452,record,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,Torture; Arbitrary detention; Surveillance,Hungary; Europe,,"Budapest, Eötvös u. 7, 1067 Hungary",1/1/2003,"Public Library, Archives, or Museum",As bureaucratic records during the abuse,Yes,5/3/2025 14:58:10,Állambiztonsági Szolgálatok Történeti Levéltára,"The foundation of the Archives followed a Resolution of the Constitutional Court of Hungary. In 1994, the Constitutional Court was examining the constitutionality of the law that had ordered the lustration of people in important public positions. They stated that the Parliament acted against the Constitution by not providing for people’s informational self-determination when they ordered their lustration. At the same time the Parliament was obligated to put an end to this anti-constitutional situation by legislating people’s right to become acquainted with all the personal data gathered and kept by State Security Organizations. Modifying the Law of Screening in 1997, the Parliament set up the Historical Office, which was an archive despite its name. In 2003, as a by-product of the scandal following the publicity of the State Security past of the then Prime Minister, the Parliament founded the Historical Archives of the Hungarian State Security (hereafter: Historical Archives or ÁBTL) by a new Act.

The Historical Archives of the Hungarian State Security (ÁBTL, Állambiztonsági Szolgálatok Történeti Levéltára) was founded as the legal successor of the Hungarian Historical Office in accordance with Act III. of 2003 on the Disclosure of the Secret Service Activities of the Communist Regime and on the Establishment of the Historical Archive of the Hungarian State Security and designated as a special national archive by Act LXVI of 1995 of Public Records, Public Archives, and the Protection of Private Archives. In legal terms, the Historical Archives is publicly financed an independent institute and budget denomination. Work at the Archives is supervised by the Speaker of the Hungarian Parliament. (https://securityarchives.eu/sbs/organisations/members-of-the-european-networ/hungary/founding-history/10314,Founding-history.html)",https://drive.google.com/open?id=1mJnxY89pQpUJumEFUzT4lYGTgO2mqLKO,As bureaucratic records during the abuse,"Public Library, Archives, or Museum",Torture; Arbitrary detention; Surveillance,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,47.50522405,19.06613452,https://www.abtl.hu/,Yes,Hungarian,,Hungary; Europe,"Budapest, Eötvös u. 7, 1067 Hungary",1/1/2003
id58,https://lh3.googleusercontent.com/d/1V77GM9Z1pTC_WhP9JFzVI8XgYqxUg9pK,https://lh3.googleusercontent.com/d/1V77GM9Z1pTC_WhP9JFzVI8XgYqxUg9pK,Ústav pamäti národa,The Nation's Memory Institute (Ústav pamäti národa) is a public-law institution founded by the Act of the National Council of the Slovak Republic No. 553/2002 Coll. on Disclosure of Documents Regarding the Activity of State Security Authorities from 1939 to 1989 and on founding the Nation's Memory Institute and on Amending Certain Acts. (https://www.upn.gov.sk/en/mission/),https://www.upn.gov.sk/en,48.15553383,17.13446818,record,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,Torture; Arbitrary detention; Surveillance,Slovakia; Europe,,"Miletičova 552/7, 821 08 Bratislava, Slovakia",9/28/2002,"Truth, Reparations, and/or Memorialization Commissions",As bureaucratic records during the abuse,No,5/3/2025 15:04:30,Ústav pamäti národa,The Nation's Memory Institute (Ústav pamäti národa) is a public-law institution founded by the Act of the National Council of the Slovak Republic No. 553/2002 Coll. on Disclosure of Documents Regarding the Activity of State Security Authorities from 1939 to 1989 and on founding the Nation's Memory Institute and on Amending Certain Acts. (https://www.upn.gov.sk/en/mission/),https://drive.google.com/open?id=1V77GM9Z1pTC_WhP9JFzVI8XgYqxUg9pK,As bureaucratic records during the abuse,"Truth, Reparations, and/or Memorialization Commissions",Torture; Arbitrary detention; Surveillance,Secret police; Communist dictatorship; European Network of Official Authorities in Charge of Secret Police Files,48.15553383,17.13446818,https://www.upn.gov.sk/en,No,Slovak,,Slovakia; Europe,"Miletičova 552/7, 821 08 Bratislava, Slovakia",9/28/2002
id59,https://lh3.googleusercontent.com/d/16NgPcaXOVBwmw1YWLWTAuyvowAZIvZ59,https://lh3.googleusercontent.com/d/16NgPcaXOVBwmw1YWLWTAuyvowAZIvZ59,El Centro de Documentación e Investigación del LUM,"The Documentation and Research Center (CDI) of the Place of Memory, Tolerance, and Social Inclusion was established by the LUM (University of Peru) in response to the need to generate spaces for reflection and remembrance of the period of violence that occurred in Peru between 1980 and 2000. The information and historical sources from this period, held nationally in various institutional and personal archives, constitute documentary heritage belonging to all Peruvians. For this reason, these archives must be properly centralized, classified, organized, and digitized so that they are accessible to users of present and future generations through a virtual platform that facilitates searching, interaction, and free dissemination of archives in various media (audio, video, documents, etc.). (https://lum.cultura.pe/cdi/nosotros)",https://lum.cultura.pe/cdi/,-12.10999355,-77.05324793,record,Internal armed conflict,Killing; Rape; Forced displacement,Peru; South America,,"Bajada, Ca. San Martín 151, Miraflores 15074, Peru",12/17/2015,"Public Library, Archives, or Museum","During process of pacification, transition, and establishing accountability",Yes,5/3/2025 21:28:22,El Centro de Documentación e Investigación del LUM,"The Documentation and Research Center (CDI) of the Place of Memory, Tolerance, and Social Inclusion was established by the LUM (University of Peru) in response to the need to generate spaces for reflection and remembrance of the period of violence that occurred in Peru between 1980 and 2000. The information and historical sources from this period, held nationally in various institutional and personal archives, constitute documentary heritage belonging to all Peruvians. For this reason, these archives must be properly centralized, classified, organized, and digitized so that they are accessible to users of present and future generations through a virtual platform that facilitates searching, interaction, and free dissemination of archives in various media (audio, video, documents, etc.). (https://lum.cultura.pe/cdi/nosotros)",https://drive.google.com/open?id=16NgPcaXOVBwmw1YWLWTAuyvowAZIvZ59,"During process of pacification, transition, and establishing accountability","Public Library, Archives, or Museum",Killing; Rape; Forced displacement,Internal armed conflict,-12.10999355,-77.05324793,https://lum.cultura.pe/cdi/,Yes,Spanish,,Peru; South America,"Bajada, Ca. San Martín 151, Miraflores 15074, Peru",12/17/2015
id60,https://lh3.googleusercontent.com/d/1WcGXVqzBi_XCKwjEjpfaUEGTSvXTBY3-,https://lh3.googleusercontent.com/d/1WcGXVqzBi_XCKwjEjpfaUEGTSvXTBY3-,National Centre for Truth and Reconciliation Archives,"The NCTR Archives are intended to be a powerful agent of change in the country, allowing visitors to understand the history of Canada and the mistreatment of Indigenous Peoples.

We currently house more than four million records in our archival collections. The overwhelming majority of these records currently consist of those created or collected by the Truth and Reconciliation Commission of Canada (TRC) during its mandate. The NCTR also actively collects records on various issues and subject areas important to Indigenous communities across the country. (https://nctr.ca/records/view-your-records/archives/)",https://archives.nctr.ca/,49.81162737,-97.1327923,record,Indegenous Rights; First Nations; Indian Residential Schools Settlement Agreement; Residential Schools Survivors,Genocide; Kidnapping,Canada; North America,,"177 Dysart Rd, Winnipeg, MB R3T 2M8, Canada",11/1/2015,"Truth, Reparations, and/or Memorialization Commissions","During process of pacification, transition, and establishing accountability",Yes,5/5/2025 17:08:51,National Centre for Truth and Reconciliation Archives,"The NCTR Archives are intended to be a powerful agent of change in the country, allowing visitors to understand the history of Canada and the mistreatment of Indigenous Peoples.

We currently house more than four million records in our archival collections. The overwhelming majority of these records currently consist of those created or collected by the Truth and Reconciliation Commission of Canada (TRC) during its mandate. The NCTR also actively collects records on various issues and subject areas important to Indigenous communities across the country. (https://nctr.ca/records/view-your-records/archives/)",https://drive.google.com/open?id=1WcGXVqzBi_XCKwjEjpfaUEGTSvXTBY3-,"During process of pacification, transition, and establishing accountability","Truth, Reparations, and/or Memorialization Commissions",Genocide; Kidnapping,Indegenous Rights; First Nations; Indian Residential Schools Settlement Agreement; Residential Schools Survivors,49.81162737,-97.1327923,https://archives.nctr.ca/,Yes,,,Canada; North America,"177 Dysart Rd, Winnipeg, MB R3T 2M8, Canada",11/1/2015
id61,https://lh3.googleusercontent.com/d/15ukLtVkRlBedlyR1Nnwx5vp-VLmZ96Zs,https://lh3.googleusercontent.com/d/15ukLtVkRlBedlyR1Nnwx5vp-VLmZ96Zs,Archivo Histórico del Grupo de Apoyo Mutuo,This is an effort to rescue thousands of documents containing the testimonies of victims of human rights violations during the Internal Armed Conflict in Guatemala. This archive seeks to provide virtual access to a collection of documents that narrate the events experienced by victims during that period. Our goal is to allow the stories of these events to be shared through the testimonies of family members and contribute to dignifying the memory of their loved ones. (https://archivogam.haverford.edu/es/acceso/),https://archivogam.haverford.edu/en/acceso/,14.6208973,-90.53657011,record,Internal Armed Conflict; Post-custodialism,Forced disappearance,Guatemala; Central America,,"8A Calle 3-11, Cdad. de Guatemala, Guatemala",1/1/1984,"Community-led, family, or individuals","Emerged as an urgent, pragmatic, solidary reaction",Yes,5/5/2025 17:58:04,Archivo Histórico del Grupo de Apoyo Mutuo,This is an effort to rescue thousands of documents containing the testimonies of victims of human rights violations during the Internal Armed Conflict in Guatemala. This archive seeks to provide virtual access to a collection of documents that narrate the events experienced by victims during that period. Our goal is to allow the stories of these events to be shared through the testimonies of family members and contribute to dignifying the memory of their loved ones. (https://archivogam.haverford.edu/es/acceso/),https://drive.google.com/open?id=15ukLtVkRlBedlyR1Nnwx5vp-VLmZ96Zs,"Emerged as an urgent, pragmatic, solidary reaction","Community-led, family, or individuals",Forced disappearance,Internal Armed Conflict; Post-custodialism,14.6208973,-90.53657011,https://archivogam.haverford.edu/en/acceso/,Yes,Spanish,,Guatemala; Central America,"8A Calle 3-11, Cdad. de Guatemala, Guatemala",1/1/1984
id62,https://lh3.googleusercontent.com/d/1gRFXBrYCiuWxBciLLnr1ViQDbuv5hshw,https://lh3.googleusercontent.com/d/1gRFXBrYCiuWxBciLLnr1ViQDbuv5hshw,Comisión por la Memoria (CPM),"The CPM was created by the legislative resolution of the Buenos Aires Province Chamber of Deputies on July 8th, 1999, then by resolution number 2117 its members were designated. A year later, it was ratified by provincial law 12.483 on July 13, 2000 and its amendment, law 12.611, on December 20, 2000. Since March 2001, its headquarters are located where the Intelligence Directorate of the Buenos Aires Province Police (DIPPBA) previously operated, and manages the archive that registers the espionage carried out by this entity for more than fifty years. (https://www.comisionporlamemoria.org/la-cpm/historia/)

",https://www.comisionporlamemoria.org/,-34.90473297,-57.89417524,record,Dirección de Inteligencia de la Policía de la Provincia de Buenos Aires (DIPPBA); Military dictatorship,Forced disappearances; Torture,Argentina; South America,,"C. 54 487, B1900 La Plata, Provincia de Buenos Aires, Argentina",7/8/1999,"Truth, Reparations, and/or Memorialization Commissions",As bureaucratic records during the abuse,No,5/6/2025 17:24:33,Comisión por la Memoria (CPM),"The CPM was created by the legislative resolution of the Buenos Aires Province Chamber of Deputies on July 8th, 1999, then by resolution number 2117 its members were designated. A year later, it was ratified by provincial law 12.483 on July 13, 2000 and its amendment, law 12.611, on December 20, 2000. Since March 2001, its headquarters are located where the Intelligence Directorate of the Buenos Aires Province Police (DIPPBA) previously operated, and manages the archive that registers the espionage carried out by this entity for more than fifty years. (https://www.comisionporlamemoria.org/la-cpm/historia/)

",https://drive.google.com/open?id=1gRFXBrYCiuWxBciLLnr1ViQDbuv5hshw,As bureaucratic records during the abuse,"Truth, Reparations, and/or Memorialization Commissions",Forced disappearances; Torture,Dirección de Inteligencia de la Policía de la Provincia de Buenos Aires (DIPPBA); Military dictatorship,-34.90473297,-57.89417524,https://www.comisionporlamemoria.org/,No,Spanish,,Argentina; South America,"C. 54 487, B1900 La Plata, Provincia de Buenos Aires, Argentina",7/8/1999
id63,https://lh3.googleusercontent.com/d/1SfO8S8VliIAWLmxO5V9DROhHkbHgMY3X,https://lh3.googleusercontent.com/d/1SfO8S8VliIAWLmxO5V9DROhHkbHgMY3X,Gacaca Court Archives,"In this section, there are archives of the institutions, which had their missions and responsibilities currently inherited by the Ministry of National Unity and Civic Engagement (MINUBUMWE) in October 2021. Those institutions are the National Commission for The Fight against Genocide (CNLG), the National Unity and Reconciliation Commission (NURC), National Itorero Commission (NIC), and the Assistance funds for the vulnerable Genocide Survivors (FARG).
(https://www.minubumwe.gov.rw/1/archives/cnlg-archives)",https://www.minubumwe.gov.rw/,-1.93616636,30.08427188,record,Tutsi genocide; National Commission for Fight Against Genocide (CNLG),Genocide,Rwanda; Africa,,"337M+77G, KG 578 St, Kigali, Rwanda",1/26/2001,"Truth, Reparations, and/or Memorialization Commissions","During process of pacification, transition, and establishing accountability",Partial,5/8/2025 22:51:44,Gacaca Court Archives,"In this section, there are archives of the institutions, which had their missions and responsibilities currently inherited by the Ministry of National Unity and Civic Engagement (MINUBUMWE) in October 2021. Those institutions are the National Commission for The Fight against Genocide (CNLG), the National Unity and Reconciliation Commission (NURC), National Itorero Commission (NIC), and the Assistance funds for the vulnerable Genocide Survivors (FARG).
(https://www.minubumwe.gov.rw/1/archives/cnlg-archives)",https://drive.google.com/open?id=1SfO8S8VliIAWLmxO5V9DROhHkbHgMY3X,"During process of pacification, transition, and establishing accountability","Truth, Reparations, and/or Memorialization Commissions",Genocide,Tutsi genocide; National Commission for Fight Against Genocide (CNLG),-1.93616636,30.08427188,https://www.minubumwe.gov.rw/,Partial,,,Rwanda; Africa,"337M+77G, KG 578 St, Kigali, Rwanda",1/26/2001
id64,https://lh3.googleusercontent.com/d/18PEVfaSA8qN3LoYGG1skNy3CG-B-R1ny,https://lh3.googleusercontent.com/d/18PEVfaSA8qN3LoYGG1skNy3CG-B-R1ny,Human Rights Violations Victims' Memorial Commission Archives,"The HRVVMC was created by Sec. 27 of R.A. No. 10368 to establish, restore, preserve, and conserve Memorial, Museum, Library, and Compendium in honor of the human rights violations victims during the Marcos regime. It is also mandated to coordinate and collaborate with the Department of Education (DepEd) and the Commission on Higher Education (CHED) to ensure that the teaching of Martial Law atrocities, the lives, and sacrifices of HRVVs in our history are included in the basic, secondary and tertiary education curricula. (https://hrvvmc.gov.ph/about-us/)",https://hrvvmc.gov.ph/,14.64218742,121.0370876,record,Philippine Martial Law;,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Philippines; Asia,,"4th floor, MIYO 150 Corporate Center, Panay Ave, Diliman, Quezon City, Metro Manila, Philippines",2/23/2013,"Truth, Reparations, and/or Memorialization Commissions","During process of pacification, transition, and establishing accountability",No,5/11/2025 15:29:42,Human Rights Violations Victims' Memorial Commission Archives,"The HRVVMC was created by Sec. 27 of R.A. No. 10368 to establish, restore, preserve, and conserve Memorial, Museum, Library, and Compendium in honor of the human rights violations victims during the Marcos regime. It is also mandated to coordinate and collaborate with the Department of Education (DepEd) and the Commission on Higher Education (CHED) to ensure that the teaching of Martial Law atrocities, the lives, and sacrifices of HRVVs in our history are included in the basic, secondary and tertiary education curricula. (https://hrvvmc.gov.ph/about-us/)",https://drive.google.com/open?id=18PEVfaSA8qN3LoYGG1skNy3CG-B-R1ny,"During process of pacification, transition, and establishing accountability","Truth, Reparations, and/or Memorialization Commissions",Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Philippine Martial Law;,14.64218742,121.0370876,https://hrvvmc.gov.ph/,No,Filipino; English,,Philippines; Asia,"4th floor, MIYO 150 Corporate Center, Panay Ave, Diliman, Quezon City, Metro Manila, Philippines",2/23/2013
